exposure_id,segment,country,stage,EAD,LGD,PD_12m,PD_lifetime,discount_rate,source,ECL_12m,ECL_lifetime
EXP-D0TVBDIV,Corporate,CN,1,565542.03,0.4966,0.0271,0.0369,0.1001,fallback,7610.9854638558,10363.2975504162
EXP-A3ZMF8MD,Corporate,DE,1,2729257.99,0.2882,0.0512,0.1079,0.1093,fallback,40272.49421916161,84871.13527827221
EXP-7CKW5NGC,Corporate,UK,1,1329959.13,0.2174,0.0422,0.0509,0.1041,fallback,12201.4174471764,14716.8755464758
EXP-4FMYZYCW,Retail,CN,3,4278035.43,0.5466,0.0366,0.0683,0.0671,fallback,85584.49447699079,159710.9555403954
EXP-Y41IBLJH,SME,CN,3,1903482.65,0.5958,0.0548,0.0938,0.072,fallback,62148.403965276004,106378.107517206
EXP-F0T0PVN9,Corporate,FR,2,2501163.98,0.5539,0.055,0.065,0.0845,fallback,76196.71006870999,90050.65735392999
EXP-VNVQJT7Y,Retail,DE,3,4306903.52,0.2611,0.0212,0.0688,0.1119,fallback,23840.089192326395,77367.83662415358
EXP-AZZ81SDW,SME,US,3,3845307.68,0.3361,0.0305,0.0416,0.0855,fallback,39418.441293064,53764.1691079168
EXP-TALA753L,Retail,DE,1,772667.95,0.505,0.0478,0.1023,0.1115,fallback,18651.43164505,39917.185298925
EXP-1ERTJ5PH,Retail,CN,3,437410.73,0.3944,0.0148,0.068,0.0983,fallback,2553.2189202975997,11731.005850016
EXP-SEIMVIHC,Corporate,UK,1,1565464.29,0.5981,0.0555,0.0862,0.066,fallback,51964.8826476195,80709.4213373838
EXP-HE7UR23G,Retail,DE,3,4299580.65,0.2283,0.0267,0.0735,0.0802,fallback,26208.566805946502,72147.1782860325
EXP-XC02DGTF,SME,FR,1,2061400.36,0.5455,0.0138,0.0595,0.0824,fallback,15518.015770044,66907.38683461
EXP-94874FRH,Retail,ES,1,2221222.42,0.5445,0.0485,0.052,0.0615,fallback,58658.596972965,62891.691599879996
